dataset,C,l1_ratio
simulated_seed3_freq010_size50_noise5_dataset,5.1794746792312125,0.75
simulated_seed3_freq010_size50_noise25_dataset,0.2682695795279725,1.0
simulated_seed3_freq010_size50_noise50_dataset,0.2682695795279725,1.0
simulated_seed3_freq010_size50_noise60_dataset,0.2682695795279725,1.0
simulated_seed3_freq010_size50_noise70_dataset,0.2682695795279725,1.0
simulated_seed3_freq010_size50_noise80_dataset,0.2682695795279725,1.0
simulated_seed3_freq010_size100_noise5_dataset,0.005179474679231213,0.1
simulated_seed3_freq010_size100_noise25_dataset,0.005179474679231213,0.1
simulated_seed3_freq010_size100_noise50_dataset,0.005179474679231213,0.1
simulated_seed3_freq010_size100_noise60_dataset,0.7196856730011514,0.75
simulated_seed3_freq010_size100_noise70_dataset,0.005179474679231213,0.1
simulated_seed3_freq010_size100_noise80_dataset,0.005179474679231213,0.1
simulated_seed3_freq010_size150_noise5_dataset,0.005179474679231213,0.1
simulated_seed3_freq010_size150_noise25_dataset,0.005179474679231213,0.1
simulated_seed3_freq010_size150_noise50_dataset,0.005179474679231213,0.1
simulated_seed3_freq010_size150_noise60_dataset,0.2682695795279725,1.0
simulated_seed3_freq010_size150_noise70_dataset,0.2682695795279725,1.0
simulated_seed3_freq010_size150_noise80_dataset,0.005179474679231213,0.1
simulated_seed3_freq010_size200_noise5_dataset,0.005179474679231213,0.1
simulated_seed3_freq010_size200_noise25_dataset,0.005179474679231213,0.1
simulated_seed3_freq010_size200_noise50_dataset,0.2682695795279725,1.0
simulated_seed3_freq010_size200_noise60_dataset,0.2682695795279725,1.0
simulated_seed3_freq010_size200_noise70_dataset,0.2682695795279725,1.0
simulated_seed3_freq010_size200_noise80_dataset,0.005179474679231213,0.1
simulated_seed3_freq010_size1000_noise5_dataset,0.013894954943731374,0.0
simulated_seed3_freq010_size1000_noise25_dataset,0.005179474679231213,0.9
simulated_seed3_freq010_size1000_noise50_dataset,0.013894954943731374,0.0
simulated_seed3_freq010_size1000_noise60_dataset,0.7196856730011514,0.1
simulated_seed3_freq010_size1000_noise70_dataset,5.1794746792312125,0.75
simulated_seed3_freq010_size1000_noise80_dataset,5.1794746792312125,0.75
simulated_seed3_freq025_size50_noise5_dataset,0.7196856730011514,0.1
simulated_seed3_freq025_size50_noise25_dataset,0.7196856730011514,0.1
simulated_seed3_freq025_size50_noise50_dataset,0.2682695795279725,1.0
simulated_seed3_freq025_size50_noise60_dataset,0.2682695795279725,1.0
simulated_seed3_freq025_size50_noise70_dataset,0.2682695795279725,1.0
simulated_seed3_freq025_size50_noise80_dataset,0.2682695795279725,1.0
simulated_seed3_freq025_size100_noise5_dataset,0.005179474679231213,0.1
simulated_seed3_freq025_size100_noise25_dataset,0.005179474679231213,0.1
simulated_seed3_freq025_size100_noise50_dataset,0.005179474679231213,0.1
simulated_seed3_freq025_size100_noise60_dataset,0.005179474679231213,0.1
simulated_seed3_freq025_size100_noise70_dataset,0.7196856730011514,0.75
simulated_seed3_freq025_size100_noise80_dataset,0.2682695795279725,1.0
simulated_seed3_freq025_size150_noise5_dataset,0.013894954943731374,0.0
simulated_seed3_freq025_size150_noise25_dataset,0.005179474679231213,0.1
simulated_seed3_freq025_size150_noise50_dataset,0.005179474679231213,0.1
simulated_seed3_freq025_size150_noise60_dataset,0.005179474679231213,0.1
simulated_seed3_freq025_size150_noise70_dataset,0.2682695795279725,1.0
simulated_seed3_freq025_size150_noise80_dataset,0.2682695795279725,1.0
simulated_seed3_freq025_size200_noise5_dataset,0.013894954943731374,0.0
simulated_seed3_freq025_size200_noise25_dataset,0.005179474679231213,0.1
simulated_seed3_freq025_size200_noise50_dataset,0.005179474679231213,0.1
simulated_seed3_freq025_size200_noise60_dataset,0.005179474679231213,0.1
simulated_seed3_freq025_size200_noise70_dataset,0.7196856730011514,0.75
simulated_seed3_freq025_size200_noise80_dataset,0.2682695795279725,1.0
simulated_seed3_freq025_size1000_noise5_dataset,0.00026826957952797245,0.0
simulated_seed3_freq025_size1000_noise25_dataset,0.00026826957952797245,0.0
simulated_seed3_freq025_size1000_noise50_dataset,0.013894954943731374,0.0
simulated_seed3_freq025_size1000_noise60_dataset,0.013894954943731374,0.0
simulated_seed3_freq025_size1000_noise70_dataset,0.013894954943731374,0.0
simulated_seed3_freq025_size1000_noise80_dataset,0.7196856730011514,0.1
simulated_seed3_freq050_size50_noise5_dataset,0.7196856730011514,0.1
simulated_seed3_freq050_size50_noise25_dataset,0.7196856730011514,0.1
simulated_seed3_freq050_size50_noise50_dataset,5.1794746792312125,0.75
simulated_seed3_freq050_size50_noise60_dataset,0.2682695795279725,1.0
simulated_seed3_freq050_size50_noise70_dataset,0.2682695795279725,1.0
simulated_seed3_freq050_size50_noise80_dataset,0.2682695795279725,1.0
simulated_seed3_freq050_size100_noise5_dataset,0.005179474679231213,0.1
simulated_seed3_freq050_size100_noise25_dataset,0.005179474679231213,0.1
simulated_seed3_freq050_size100_noise50_dataset,0.005179474679231213,0.1
simulated_seed3_freq050_size100_noise60_dataset,0.005179474679231213,0.1
simulated_seed3_freq050_size100_noise70_dataset,0.005179474679231213,0.1
simulated_seed3_freq050_size100_noise80_dataset,0.2682695795279725,1.0
simulated_seed3_freq050_size150_noise5_dataset,0.005179474679231213,0.1
simulated_seed3_freq050_size150_noise25_dataset,0.005179474679231213,0.1
simulated_seed3_freq050_size150_noise50_dataset,0.005179474679231213,0.1
simulated_seed3_freq050_size150_noise60_dataset,0.005179474679231213,0.1
simulated_seed3_freq050_size150_noise70_dataset,0.005179474679231213,0.1
simulated_seed3_freq050_size150_noise80_dataset,0.2682695795279725,1.0
simulated_seed3_freq050_size200_noise5_dataset,0.013894954943731374,0.0
simulated_seed3_freq050_size200_noise25_dataset,0.013894954943731374,0.0
simulated_seed3_freq050_size200_noise50_dataset,0.013894954943731374,0.0
simulated_seed3_freq050_size200_noise60_dataset,0.005179474679231213,0.1
simulated_seed3_freq050_size200_noise70_dataset,0.005179474679231213,0.1
simulated_seed3_freq050_size200_noise80_dataset,5.1794746792312125,0.75
simulated_seed3_freq050_size1000_noise5_dataset,0.00026826957952797245,0.0
simulated_seed3_freq050_size1000_noise25_dataset,0.00026826957952797245,0.0
simulated_seed3_freq050_size1000_noise50_dataset,0.00026826957952797245,0.0
simulated_seed3_freq050_size1000_noise60_dataset,0.013894954943731374,0.0
simulated_seed3_freq050_size1000_noise70_dataset,0.013894954943731374,0.0
simulated_seed3_freq050_size1000_noise80_dataset,0.013894954943731374,0.0
simulated_seed5_freq010_size50_noise5_dataset,0.2682695795279725,1.0
simulated_seed5_freq010_size50_noise25_dataset,5.1794746792312125,0.75
simulated_seed5_freq010_size50_noise50_dataset,0.2682695795279725,1.0
simulated_seed5_freq010_size50_noise60_dataset,0.2682695795279725,1.0
simulated_seed5_freq010_size50_noise70_dataset,0.2682695795279725,1.0
simulated_seed5_freq010_size50_noise80_dataset,0.2682695795279725,1.0
simulated_seed5_freq010_size100_noise5_dataset,0.005179474679231213,0.1
simulated_seed5_freq010_size100_noise25_dataset,0.005179474679231213,0.1
simulated_seed5_freq010_size100_noise50_dataset,0.005179474679231213,0.1
simulated_seed5_freq010_size100_noise60_dataset,0.005179474679231213,0.1
simulated_seed5_freq010_size100_noise70_dataset,0.005179474679231213,0.1
simulated_seed5_freq010_size100_noise80_dataset,0.005179474679231213,0.1
simulated_seed5_freq010_size150_noise5_dataset,0.005179474679231213,0.1
simulated_seed5_freq010_size150_noise25_dataset,0.005179474679231213,0.1
simulated_seed5_freq010_size150_noise50_dataset,0.005179474679231213,0.1
simulated_seed5_freq010_size150_noise60_dataset,0.005179474679231213,0.1
simulated_seed5_freq010_size150_noise70_dataset,0.005179474679231213,0.1
simulated_seed5_freq010_size150_noise80_dataset,0.005179474679231213,0.1
simulated_seed5_freq010_size200_noise5_dataset,0.013894954943731374,0.0
simulated_seed5_freq010_size200_noise25_dataset,0.005179474679231213,0.1
simulated_seed5_freq010_size200_noise50_dataset,0.005179474679231213,0.1
simulated_seed5_freq010_size200_noise60_dataset,0.005179474679231213,0.1
simulated_seed5_freq010_size200_noise70_dataset,0.005179474679231213,0.1
simulated_seed5_freq010_size200_noise80_dataset,5.1794746792312125,0.75
simulated_seed5_freq010_size1000_noise5_dataset,0.00026826957952797245,0.0
simulated_seed5_freq010_size1000_noise25_dataset,0.005179474679231213,0.9
simulated_seed5_freq010_size1000_noise50_dataset,0.005179474679231213,0.9
simulated_seed5_freq010_size1000_noise60_dataset,0.005179474679231213,0.1
simulated_seed5_freq010_size1000_noise70_dataset,0.005179474679231213,0.9
simulated_seed5_freq010_size1000_noise80_dataset,0.005179474679231213,0.9
simulated_seed5_freq025_size50_noise5_dataset,0.7196856730011514,0.1
simulated_seed5_freq025_size50_noise25_dataset,5.1794746792312125,0.75
simulated_seed5_freq025_size50_noise50_dataset,5.1794746792312125,0.75
simulated_seed5_freq025_size50_noise60_dataset,5.1794746792312125,0.75
simulated_seed5_freq025_size50_noise70_dataset,0.2682695795279725,1.0
simulated_seed5_freq025_size50_noise80_dataset,0.2682695795279725,1.0
simulated_seed5_freq025_size100_noise5_dataset,0.005179474679231213,0.1
simulated_seed5_freq025_size100_noise25_dataset,0.005179474679231213,0.1
simulated_seed5_freq025_size100_noise50_dataset,0.005179474679231213,0.1
simulated_seed5_freq025_size100_noise60_dataset,0.005179474679231213,0.1
simulated_seed5_freq025_size100_noise70_dataset,0.005179474679231213,0.1
simulated_seed5_freq025_size100_noise80_dataset,0.005179474679231213,0.1
simulated_seed5_freq025_size150_noise5_dataset,0.013894954943731374,0.0
simulated_seed5_freq025_size150_noise25_dataset,0.005179474679231213,0.1
simulated_seed5_freq025_size150_noise50_dataset,0.005179474679231213,0.1
simulated_seed5_freq025_size150_noise60_dataset,0.005179474679231213,0.1
simulated_seed5_freq025_size150_noise70_dataset,0.005179474679231213,0.1
simulated_seed5_freq025_size150_noise80_dataset,0.005179474679231213,0.1
simulated_seed5_freq025_size200_noise5_dataset,0.013894954943731374,0.0
simulated_seed5_freq025_size200_noise25_dataset,0.013894954943731374,0.0
simulated_seed5_freq025_size200_noise50_dataset,0.005179474679231213,0.1
simulated_seed5_freq025_size200_noise60_dataset,0.005179474679231213,0.1
simulated_seed5_freq025_size200_noise70_dataset,0.005179474679231213,0.1
simulated_seed5_freq025_size200_noise80_dataset,0.005179474679231213,0.1
simulated_seed5_freq025_size1000_noise5_dataset,0.00026826957952797245,0.0
simulated_seed5_freq025_size1000_noise25_dataset,0.00026826957952797245,0.0
simulated_seed5_freq025_size1000_noise50_dataset,0.00026826957952797245,0.0
simulated_seed5_freq025_size1000_noise60_dataset,0.005179474679231213,0.9
simulated_seed5_freq025_size1000_noise70_dataset,0.005179474679231213,0.9
simulated_seed5_freq025_size1000_noise80_dataset,0.005179474679231213,0.9
simulated_seed5_freq050_size50_noise5_dataset,0.7196856730011514,0.1
simulated_seed5_freq050_size50_noise25_dataset,0.7196856730011514,0.1
