dataset_name,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth
simulated_seed3_freq010_size1000_noise5_dataset,500,5,10,0.8,20.0
simulated_seed3_freq010_size1000_noise25_dataset,500,2,1,None,10.0
simulated_seed3_freq010_size1000_noise50_dataset,500,10,1,0.8,20.0
simulated_seed3_freq010_size1000_noise60_dataset,500,10,1,0.8,20.0
simulated_seed3_freq010_size1000_noise70_dataset,500,10,1,0.8,20.0
simulated_seed3_freq010_size1000_noise80_dataset,500,10,1,0.8,20.0
simulated_seed3_freq025_size1000_noise5_dataset,500,5,10,0.8,20.0
simulated_seed3_freq025_size1000_noise25_dataset,500,5,10,0.8,20.0
simulated_seed3_freq025_size1000_noise50_dataset,100,5,1,0.8,None
simulated_seed3_freq025_size1000_noise60_dataset,500,2,1,0.8,None
simulated_seed3_freq025_size1000_noise70_dataset,200,2,1,None,20.0
simulated_seed3_freq025_size1000_noise80_dataset,200,2,1,None,20.0
simulated_seed3_freq050_size1000_noise5_dataset,500,5,10,0.8,20.0
simulated_seed3_freq050_size1000_noise25_dataset,500,5,10,0.8,20.0
simulated_seed3_freq050_size1000_noise50_dataset,500,5,10,0.8,20.0
simulated_seed3_freq050_size1000_noise60_dataset,500,5,10,0.8,20.0
simulated_seed3_freq050_size1000_noise70_dataset,500,10,1,0.8,20.0
simulated_seed3_freq050_size1000_noise80_dataset,500,2,1,0.8,None
simulated_seed3_freq010_size50_noise5_dataset,500,5,10,0.8,20.0
simulated_seed3_freq010_size50_noise25_dataset,100,10,10,None,None
simulated_seed3_freq010_size50_noise50_dataset,100,10,10,0.8,None
simulated_seed3_freq010_size50_noise60_dataset,500,5,10,0.8,20.0
simulated_seed3_freq010_size50_noise70_dataset,100,10,10,0.8,None
simulated_seed3_freq010_size50_noise80_dataset,200,2,10,0.8,10.0
simulated_seed3_freq025_size50_noise5_dataset,200,10,5,None,None
simulated_seed3_freq025_size50_noise25_dataset,500,5,10,0.8,20.0
simulated_seed3_freq025_size50_noise50_dataset,200,2,10,None,None
simulated_seed3_freq025_size50_noise60_dataset,100,10,10,0.8,None
simulated_seed3_freq025_size50_noise70_dataset,100,10,10,None,None
simulated_seed3_freq025_size50_noise80_dataset,100,10,10,None,None
simulated_seed3_freq050_size50_noise5_dataset,500,5,10,0.8,20.0
simulated_seed3_freq050_size50_noise25_dataset,500,5,10,0.8,20.0
simulated_seed3_freq050_size50_noise50_dataset,200,2,10,None,None
simulated_seed3_freq050_size50_noise60_dataset,500,5,10,0.8,20.0
simulated_seed3_freq050_size50_noise70_dataset,500,5,10,None,20.0
simulated_seed3_freq050_size50_noise80_dataset,200,2,10,0.8,10.0
simulated_seed7_freq010_size50_noise5_dataset,500,5,10,None,20.0
simulated_seed7_freq010_size50_noise25_dataset,500,5,10,0.8,20.0
simulated_seed7_freq010_size50_noise50_dataset,500,5,10,0.8,20.0
simulated_seed7_freq010_size50_noise60_dataset,100,10,10,None,None
simulated_seed7_freq010_size50_noise70_dataset,100,10,10,None,None
simulated_seed7_freq010_size50_noise80_dataset,100,10,10,None,None
simulated_seed7_freq025_size50_noise5_dataset,500,5,10,0.8,20.0
simulated_seed7_freq025_size50_noise25_dataset,500,5,10,None,20.0
simulated_seed7_freq025_size50_noise50_dataset,500,5,10,0.8,20.0
simulated_seed7_freq025_size50_noise60_dataset,500,5,10,0.8,20.0
simulated_seed7_freq025_size50_noise70_dataset,500,5,10,0.8,20.0
simulated_seed7_freq025_size50_noise80_dataset,500,5,10,None,20.0
simulated_seed7_freq050_size50_noise5_dataset,500,5,10,0.8,20.0
simulated_seed7_freq050_size50_noise25_dataset,500,5,10,0.8,20.0
simulated_seed7_freq050_size50_noise50_dataset,500,5,10,0.8,20.0
simulated_seed7_freq050_size50_noise60_dataset,500,5,10,None,20.0
simulated_seed7_freq050_size50_noise70_dataset,200,2,10,None,None
simulated_seed7_freq050_size50_noise80_dataset,500,5,10,0.8,20.0
simulated_seed5_freq010_size200_noise5_dataset,100,10,5,None,None
simulated_seed5_freq010_size200_noise25_dataset,500,10,1,0.8,20.0
simulated_seed5_freq010_size200_noise50_dataset,500,10,1,0.8,20.0
simulated_seed5_freq010_size200_noise60_dataset,500,10,1,0.8,20.0
simulated_seed5_freq010_size200_noise70_dataset,500,10,1,0.8,20.0
simulated_seed5_freq010_size200_noise80_dataset,200,10,5,None,None
simulated_seed5_freq025_size200_noise5_dataset,500,5,10,0.8,20.0
simulated_seed5_freq025_size200_noise25_dataset,500,5,10,0.8,20.0
simulated_seed5_freq025_size200_noise50_dataset,200,2,10,0.8,10.0
simulated_seed5_freq025_size200_noise60_dataset,500,10,1,0.8,20.0
simulated_seed5_freq025_size200_noise70_dataset,200,5,5,0.8,10.0
simulated_seed5_freq025_size200_noise80_dataset,200,5,1,0.8,None
simulated_seed5_freq050_size200_noise5_dataset,500,5,10,0.8,20.0
simulated_seed5_freq050_size200_noise25_dataset,500,5,10,0.8,20.0
simulated_seed5_freq050_size200_noise50_dataset,500,5,10,0.8,20.0
simulated_seed5_freq050_size200_noise60_dataset,500,5,10,0.8,20.0
simulated_seed5_freq050_size200_noise70_dataset,500,5,10,0.8,20.0
simulated_seed5_freq050_size200_noise80_dataset,500,5,10,0.8,20.0
simulated_seed7_freq010_size200_noise5_dataset,500,5,10,0.8,20.0
simulated_seed7_freq010_size200_noise25_dataset,500,5,10,0.8,20.0
simulated_seed7_freq010_size200_noise50_dataset,500,10,1,0.8,20.0
simulated_seed7_freq010_size200_noise60_dataset,500,2,1,0.8,None
simulated_seed7_freq010_size200_noise70_dataset,500,10,1,0.8,20.0
simulated_seed7_freq010_size200_noise80_dataset,500,10,1,0.8,20.0
simulated_seed7_freq025_size200_noise5_dataset,500,5,10,0.8,20.0
simulated_seed7_freq025_size200_noise25_dataset,500,5,10,0.8,20.0
simulated_seed7_freq025_size200_noise50_dataset,200,2,1,None,20.0
simulated_seed7_freq025_size200_noise60_dataset,200,2,1,None,20.0
simulated_seed7_freq025_size200_noise70_dataset,200,2,1,None,20.0
simulated_seed7_freq025_size200_noise80_dataset,100,5,1,0.8,10.0
simulated_seed7_freq050_size200_noise5_dataset,500,5,10,0.8,20.0
simulated_seed7_freq050_size200_noise25_dataset,500,5,10,0.8,20.0
simulated_seed7_freq050_size200_noise50_dataset,500,5,10,0.8,20.0
simulated_seed7_freq050_size200_noise60_dataset,500,5,10,0.8,20.0
simulated_seed7_freq050_size200_noise70_dataset,500,5,10,0.8,20.0
simulated_seed7_freq050_size200_noise80_dataset,500,5,10,0.8,20.0
simulated_seed5_freq010_size100_noise5_dataset,100,2,5,0.8,20.0
simulated_seed5_freq010_size100_noise25_dataset,500,10,1,0.8,20.0
simulated_seed5_freq010_size100_noise50_dataset,500,10,1,0.8,20.0
simulated_seed5_freq010_size100_noise60_dataset,500,10,1,0.8,20.0
simulated_seed5_freq010_size100_noise70_dataset,100,2,5,0.8,20.0
simulated_seed5_freq010_size100_noise80_dataset,200,2,1,None,20.0
simulated_seed5_freq025_size100_noise5_dataset,500,5,10,0.8,20.0
simulated_seed5_freq025_size100_noise25_dataset,500,2,1,None,10.0
simulated_seed5_freq025_size100_noise50_dataset,100,10,5,None,None
simulated_seed5_freq025_size100_noise60_dataset,500,5,10,0.8,20.0
simulated_seed5_freq025_size100_noise70_dataset,200,2,10,None,None
simulated_seed5_freq025_size100_noise80_dataset,200,5,1,0.8,None
simulated_seed5_freq050_size100_noise5_dataset,500,5,10,0.8,20.0
simulated_seed5_freq050_size100_noise25_dataset,500,5,10,0.8,20.0
simulated_seed5_freq050_size100_noise50_dataset,500,5,10,0.8,20.0
simulated_seed5_freq050_size100_noise60_dataset,200,10,5,None,None
simulated_seed5_freq050_size100_noise70_dataset,200,2,10,None,None
simulated_seed5_freq050_size100_noise80_dataset,200,2,10,None,None
simulated_seed5_freq010_size1000_noise5_dataset,200,2,1,None,20.0
simulated_seed5_freq010_size1000_noise25_dataset,500,5,10,0.8,20.0
simulated_seed5_freq010_size1000_noise50_dataset,100,10,10,0.8,None
simulated_seed5_freq010_size1000_noise60_dataset,200,2,1,None,10.0
simulated_seed5_freq010_size1000_noise70_dataset,100,5,1,0.8,10.0
simulated_seed5_freq010_size1000_noise80_dataset,100,2,5,0.8,20.0
simulated_seed5_freq025_size1000_noise5_dataset,500,5,10,0.8,20.0
simulated_seed5_freq025_size1000_noise25_dataset,500,5,10,0.8,20.0
simulated_seed5_freq025_size1000_noise50_dataset,500,5,10,0.8,20.0
simulated_seed5_freq025_size1000_noise60_dataset,500,5,10,0.8,20.0
simulated_seed5_freq025_size1000_noise70_dataset,200,2,1,None,20.0
simulated_seed5_freq025_size1000_noise80_dataset,500,5,10,0.8,20.0
simulated_seed5_freq050_size1000_noise5_dataset,500,5,10,0.8,20.0
simulated_seed5_freq050_size1000_noise25_dataset,500,5,10,0.8,20.0
simulated_seed5_freq050_size1000_noise50_dataset,500,5,10,0.8,20.0
simulated_seed5_freq050_size1000_noise60_dataset,500,5,10,0.8,20.0
simulated_seed5_freq050_size1000_noise70_dataset,500,5,10,0.8,20.0
simulated_seed5_freq050_size1000_noise80_dataset,500,5,10,0.8,20.0
simulated_seed7_freq010_size1000_noise5_dataset,500,5,10,0.8,20.0
simulated_seed7_freq010_size1000_noise25_dataset,200,2,1,None,20.0
simulated_seed7_freq010_size1000_noise50_dataset,200,2,1,None,20.0
simulated_seed7_freq010_size1000_noise60_dataset,200,2,1,None,20.0
simulated_seed7_freq010_size1000_noise70_dataset,500,5,10,0.8,20.0
simulated_seed7_freq010_size1000_noise80_dataset,200,2,1,None,20.0
simulated_seed7_freq025_size1000_noise5_dataset,500,5,10,0.8,20.0
simulated_seed7_freq025_size1000_noise25_dataset,500,5,10,0.8,20.0
simulated_seed7_freq025_size1000_noise50_dataset,200,2,1,None,20.0
simulated_seed7_freq025_size1000_noise60_dataset,500,5,10,0.8,20.0
simulated_seed7_freq025_size1000_noise70_dataset,500,5,10,0.8,20.0
simulated_seed7_freq025_size1000_noise80_dataset,500,5,10,0.8,20.0
simulated_seed7_freq050_size1000_noise5_dataset,500,5,10,0.8,20.0
simulated_seed7_freq050_size1000_noise25_dataset,500,5,10,0.8,20.0
simulated_seed7_freq050_size1000_noise50_dataset,500,5,10,0.8,20.0
simulated_seed7_freq050_size1000_noise60_dataset,500,5,10,0.8,20.0
simulated_seed7_freq050_size1000_noise70_dataset,500,5,10,0.8,20.0
simulated_seed7_freq050_size1000_noise80_dataset,500,5,10,0.8,20.0
simulated_seed3_freq010_size100_noise5_dataset,500,2,1,None,10.0
simulated_seed3_freq010_size100_noise25_dataset,100,5,1,0.8,10.0
simulated_seed3_freq010_size100_noise50_dataset,200,5,1,0.8,None
simulated_seed3_freq010_size100_noise60_dataset,100,10,10,0.8,None
simulated_seed3_freq010_size100_noise70_dataset,100,10,10,0.8,None
simulated_seed3_freq010_size100_noise80_dataset,200,2,1,None,20.0
simulated_seed3_freq025_size100_noise5_dataset,500,5,10,0.8,20.0
simulated_seed3_freq025_size100_noise25_dataset,200,10,5,None,None
simulated_seed3_freq025_size100_noise50_dataset,200,2,10,0.8,10.0
simulated_seed3_freq025_size100_noise60_dataset,500,5,10,0.8,20.0
simulated_seed3_freq025_size100_noise70_dataset,200,2,10,None,None
simulated_seed3_freq025_size100_noise80_dataset,500,5,10,0.8,20.0
simulated_seed3_freq050_size100_noise5_dataset,500,5,10,0.8,20.0
simulated_seed3_freq050_size100_noise25_dataset,500,5,10,0.8,20.0
simulated_seed3_freq050_size100_noise50_dataset,500,5,10,None,20.0
simulated_seed3_freq050_size100_noise60_dataset,500,5,10,None,20.0
simulated_seed3_freq050_size100_noise70_dataset,500,2,1,0.8,None
simulated_seed3_freq050_size100_noise80_dataset,500,2,1,None,10.0
simulated_seed3_freq010_size200_noise5_dataset,500,10,1,0.8,20.0
simulated_seed3_freq010_size200_noise25_dataset,100,2,5,0.8,20.0
simulated_seed3_freq010_size200_noise50_dataset,200,2,1,None,20.0
simulated_seed3_freq010_size200_noise60_dataset,200,2,10,None,None
simulated_seed3_freq010_size200_noise70_dataset,200,5,5,0.8,10.0
simulated_seed3_freq010_size200_noise80_dataset,100,5,5,None,10.0
simulated_seed3_freq025_size200_noise5_dataset,500,5,10,0.8,20.0
simulated_seed3_freq025_size200_noise25_dataset,200,5,5,0.8,10.0
