,ACC,Balanced_ACC,Precision,Recall,AUROC,AUPRC,MCC
simulated_seed3_freq010_size1000_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq010_size1000_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq010_size1000_noise50_dataset,0.96,0.96,0.9791666666666666,0.94,0.96,0.9504166666666666,0.9207368843792509
simulated_seed3_freq010_size1000_noise60_dataset,0.915,0.915,0.9108910891089109,0.92,0.915,0.8780198019801981,0.8300415031127594
simulated_seed3_freq010_size1000_noise70_dataset,0.79,0.79,0.7788461538461539,0.81,0.79,0.7258653846153846,0.5804645575434408
simulated_seed3_freq010_size1000_noise80_dataset,0.63,0.63,0.6382978723404256,0.6,0.6299999999999999,0.5829787234042554,0.2604692674027798
simulated_seed3_freq025_size1000_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq025_size1000_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq025_size1000_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq025_size1000_noise60_dataset,0.995,0.995,0.9900990099009901,1.0,0.995,0.9900990099009901,0.9900495037128093
simulated_seed3_freq025_size1000_noise70_dataset,0.965,0.9650000000000001,0.9345794392523364,1.0,0.965,0.9345794392523364,0.932286907826487
simulated_seed3_freq025_size1000_noise80_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq050_size1000_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq050_size1000_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq050_size1000_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq050_size1000_noise60_dataset,0.99,0.99,1.0,0.98,0.99,0.99,0.9801960588196069
simulated_seed3_freq050_size1000_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq050_size1000_noise80_dataset,0.99,0.99,0.9803921568627451,1.0,0.99,0.9803921568627451,0.9801960588196069
simulated_seed3_freq010_size50_noise5_dataset,0.7,0.7,1.0,0.4,0.7,0.7,0.5
simulated_seed3_freq010_size50_noise25_dataset,0.6,0.6,0.6,0.6,0.6,0.56,0.2
simulated_seed3_freq010_size50_noise50_dataset,0.2,0.2,0.0,0.0,0.2,0.5,-0.6546536707079772
simulated_seed3_freq010_size50_noise60_dataset,0.6,0.6,0.6,0.6,0.6,0.56,0.2
simulated_seed3_freq010_size50_noise70_dataset,0.1,0.1,0.0,0.0,0.09999999999999998,0.5,-0.816496580927726
simulated_seed3_freq010_size50_noise80_dataset,0.1,0.1,0.16666666666666666,0.2,0.1,0.43333333333333335,-0.816496580927726
simulated_seed3_freq025_size50_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq025_size50_noise25_dataset,0.8,0.8,0.7142857142857143,1.0,0.8,0.7142857142857143,0.6546536707079772
simulated_seed3_freq025_size50_noise50_dataset,0.7,0.7,0.75,0.6,0.7000000000000002,0.6499999999999999,0.408248290463863
simulated_seed3_freq025_size50_noise60_dataset,0.3,0.30000000000000004,0.25,0.2,0.3,0.45,-0.408248290463863
simulated_seed3_freq025_size50_noise70_dataset,0.1,0.1,0.0,0.0,0.09999999999999998,0.5,-0.816496580927726
simulated_seed3_freq025_size50_noise80_dataset,0.3,0.30000000000000004,0.25,0.2,0.3,0.45,-0.408248290463863
simulated_seed3_freq050_size50_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq050_size50_noise25_dataset,0.9,0.9,0.8333333333333334,1.0,0.9,0.8333333333333334,0.816496580927726
simulated_seed3_freq050_size50_noise50_dataset,0.7,0.7,0.75,0.6,0.7000000000000002,0.6499999999999999,0.408248290463863
simulated_seed3_freq050_size50_noise60_dataset,0.7,0.7,0.6666666666666666,0.8,0.7000000000000001,0.6333333333333333,0.408248290463863
simulated_seed3_freq050_size50_noise70_dataset,0.5,0.5,0.5,0.8,0.5,0.5,0.0
simulated_seed3_freq050_size50_noise80_dataset,0.3,0.30000000000000004,0.3333333333333333,0.4,0.3,0.43333333333333335,-0.408248290463863
simulated_seed7_freq010_size50_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq010_size50_noise25_dataset,0.9,0.9,0.8333333333333334,1.0,0.9,0.8333333333333334,0.816496580927726
simulated_seed7_freq010_size50_noise50_dataset,0.7,0.7,0.6666666666666666,0.8,0.7000000000000001,0.6333333333333333,0.408248290463863
simulated_seed7_freq010_size50_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq010_size50_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq010_size50_noise80_dataset,0.7,0.7,0.6666666666666666,0.8,0.7000000000000001,0.6333333333333333,0.408248290463863
simulated_seed7_freq025_size50_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq025_size50_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq025_size50_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq025_size50_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq025_size50_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq025_size50_noise80_dataset,0.5,0.5,0.5,0.6,0.5,0.5,0.0
simulated_seed7_freq050_size50_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq050_size50_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq050_size50_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq050_size50_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq050_size50_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq050_size50_noise80_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq010_size200_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq010_size200_noise25_dataset,0.95,0.95,0.95,0.95,0.95,0.9275,0.9
simulated_seed5_freq010_size200_noise50_dataset,0.9,0.8999999999999999,0.9444444444444444,0.85,0.9,0.8777777777777778,0.8040302522073697
simulated_seed5_freq010_size200_noise60_dataset,0.825,0.825,0.8421052631578947,0.8,0.825,0.7736842105263158,0.6508140266182866
simulated_seed5_freq010_size200_noise70_dataset,0.65,0.65,0.65,0.65,0.65,0.5975,0.3
simulated_seed5_freq010_size200_noise80_dataset,0.65,0.65,0.65,0.65,0.65,0.5975,0.3
simulated_seed5_freq025_size200_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq025_size200_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq025_size200_noise50_dataset,0.95,0.95,1.0,0.9,0.95,0.95,0.9045340337332909
simulated_seed5_freq025_size200_noise60_dataset,0.95,0.95,1.0,0.9,0.95,0.95,0.9045340337332909
simulated_seed5_freq025_size200_noise70_dataset,0.975,0.975,0.9523809523809523,1.0,0.975,0.9523809523809523,0.9511897312113419
simulated_seed5_freq025_size200_noise80_dataset,0.9,0.9,0.9,0.9,0.9,0.8600000000000001,0.8
simulated_seed5_freq050_size200_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq050_size200_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq050_size200_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq050_size200_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq050_size200_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq050_size200_noise80_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq010_size200_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq010_size200_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq010_size200_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq010_size200_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq010_size200_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq010_size200_noise80_dataset,0.95,0.95,0.95,0.95,0.95,0.9275,0.9
simulated_seed7_freq025_size200_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq025_size200_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
