,ACC,Balanced_ACC,Precision,Recall,AUROC,AUPRC,MCC
simulated_seed3_freq010_size1000_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq010_size1000_noise25_dataset,0.99,0.99,0.99,0.99,0.9999,0.9999009900990099,0.98
simulated_seed3_freq010_size1000_noise50_dataset,0.95,0.95,0.95,0.95,0.9843500000000001,0.9819782229606675,0.9
simulated_seed3_freq010_size1000_noise60_dataset,0.87,0.87,0.8557692307692307,0.89,0.9367,0.9211945299285375,0.740592711348528
simulated_seed3_freq010_size1000_noise70_dataset,0.775,0.775,0.7956989247311828,0.74,0.8478,0.8215569559750069,0.5513524723705031
simulated_seed3_freq010_size1000_noise80_dataset,0.59,0.59,0.59375,0.57,0.6542999999999999,0.6597124051962439,0.18014417303072303
simulated_seed3_freq025_size1000_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq025_size1000_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq025_size1000_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq025_size1000_noise60_dataset,0.995,0.995,0.9900990099009901,1.0,0.9997,0.9996999799979998,0.9900495037128093
simulated_seed3_freq025_size1000_noise70_dataset,0.93,0.9299999999999999,0.9215686274509803,0.94,0.99255,0.993086454317949,0.8601720516172061
simulated_seed3_freq025_size1000_noise80_dataset,0.95,0.95,0.95,0.95,0.9894999999999999,0.9887565993878039,0.9
simulated_seed3_freq050_size1000_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq050_size1000_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq050_size1000_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq050_size1000_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq050_size1000_noise70_dataset,0.995,0.995,1.0,0.99,1.0,1.0,0.9900495037128093
simulated_seed3_freq050_size1000_noise80_dataset,0.97,0.97,0.9519230769230769,0.99,0.9994000000000001,0.9994238095238095,0.9407529036048868
