dataset_name,fold,fit_time,score_time,accuracy,balanced_accuracy,precision,recall,roc_auc,average_precision,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,random_seed,dataset
dataset_7_46,0,382.6668257713318,0.08260440826416016,0.8367346938775511,0.5,0.0,0.0,0.5579268292682926,0.2425587060504981,100,5,10,0.8,,46,dataset_7
dataset_7_46,1,381.56888031959534,0.09742569923400879,0.8333333333333334,0.5,0.0,0.0,0.5640625,0.19537511196276228,100,2,1,0.8,,46,dataset_7
dataset_7_46,2,376.05025124549866,0.13738775253295898,0.8333333333333334,0.5,0.0,0.0,0.603125,0.2634072596029118,200,10,10,0.8,,46,dataset_7
dataset_7_46,3,383.1869926452637,0.08483481407165527,0.8333333333333334,0.5,0.0,0.0,0.603125,0.21302368648325,200,10,5,,20.0,46,dataset_7
dataset_7_46,4,371.33309531211853,0.11628866195678711,0.8333333333333334,0.5,0.0,0.0,0.546875,0.2018793706293706,100,5,10,0.8,,46,dataset_7
dataset_8_46,0,859.2053143978119,0.1319880485534668,0.7397260273972602,0.6041666666666666,1.0,0.20833333333333334,0.7818877551020408,0.6942099981316919,500,5,1,0.8,20.0,46,dataset_8
dataset_8_46,1,847.1531126499176,0.10171914100646973,0.6896551724137931,0.5943943298969072,0.5555555555555556,0.3125,0.7094072164948454,0.5459083223525107,100,10,10,,,46,dataset_8
dataset_8_46,2,847.9036672115326,0.16540074348449707,0.6413793103448275,0.5109536082474226,0.375,0.125,0.6576460481099656,0.46043569019811204,500,2,1,0.8,10.0,46,dataset_8
dataset_8_46,3,862.5879876613617,0.08657145500183105,0.7310344827586207,0.6515414676508902,0.625,0.425531914893617,0.8065566652192793,0.6027177717388548,100,5,10,0.8,,46,dataset_8
dataset_8_46,4,857.7354211807251,0.09187173843383789,0.6896551724137931,0.5434216239687364,0.6,0.1276595744680851,0.7297003907946157,0.5431811610314151,100,5,1,0.8,10.0,46,dataset_8
dataset_7_42,0,305.7911756038666,0.1375718116760254,0.8367346938775511,0.5,0.0,0.0,0.6189024390243902,0.2241339869281046,100,2,5,0.8,20.0,42,dataset_7
dataset_7_42,1,309.99498438835144,0.0889132022857666,0.8333333333333334,0.5,0.0,0.0,0.5265625,0.20327193850773972,100,5,1,0.8,10.0,42,dataset_7
dataset_7_42,2,307.3367738723755,0.1193990707397461,0.8333333333333334,0.5,0.0,0.0,0.6,0.21194308611115525,100,2,5,0.8,20.0,42,dataset_7
dataset_7_42,3,309.46963381767273,0.11615705490112305,0.8333333333333334,0.5,0.0,0.0,0.35000000000000003,0.15036981709189157,200,2,1,,20.0,42,dataset_7
dataset_7_42,4,313.17502903938293,0.11192059516906738,0.8333333333333334,0.5,0.0,0.0,0.4078125,0.17105256291302803,500,2,1,0.8,,42,dataset_7
dataset_8_42,0,618.8175792694092,0.09474372863769531,0.6986301369863014,0.5469812925170068,0.8333333333333334,0.10416666666666667,0.7712585034013606,0.6263168335758718,100,5,1,0.8,,42,dataset_8
dataset_8_42,1,613.0573780536652,0.20595216751098633,0.6413793103448275,0.5056915807560137,0.35714285714285715,0.10416666666666667,0.648840206185567,0.4178741874185851,500,2,1,0.8,,42,dataset_8
dataset_8_42,2,630.4554996490479,0.09476947784423828,0.6896551724137931,0.5680841924398625,0.5882352941176471,0.20833333333333334,0.7439862542955327,0.5430596484552513,200,5,5,0.8,10.0,42,dataset_8
dataset_8_42,3,629.6324908733368,0.10281825065612793,0.6758620689655173,0.5941163699522363,0.5,0.3617021276595745,0.709726443768997,0.52751027834096,200,2,10,,,42,dataset_8
dataset_8_42,4,622.7391755580902,0.22331023216247559,0.7172413793103448,0.5749023013460703,0.8,0.1702127659574468,0.8211029092488059,0.6986683406101751,200,2,1,,10.0,42,dataset_8
dataset_7_45,0,318.7168951034546,0.21073651313781738,0.8367346938775511,0.5,0.0,0.0,0.4725609756097561,0.19057846683241808,500,2,5,,20.0,45,dataset_7
dataset_7_45,1,324.8326036930084,0.07770133018493652,0.8333333333333334,0.5,0.0,0.0,0.47500000000000003,0.23708320352810608,100,5,1,,,45,dataset_7
dataset_7_45,2,316.25961899757385,0.30637121200561523,0.8333333333333334,0.5,0.0,0.0,0.615625,0.2178967266964024,500,10,1,0.8,,45,dataset_7
dataset_7_45,3,323.5674352645874,0.15956878662109375,0.8333333333333334,0.5,0.0,0.0,0.43125,0.1749931896553697,500,2,10,0.8,10.0,45,dataset_7
dataset_7_45,4,324.10068440437317,0.10120844841003418,0.8333333333333334,0.5,0.0,0.0,0.7718750000000001,0.5503801507347372,200,2,5,,,45,dataset_7
dataset_8_45,0,614.9053199291229,0.12354063987731934,0.684931506849315,0.5527210884353742,0.5714285714285714,0.16666666666666666,0.7087585034013605,0.5356347628472325,200,10,1,,20.0,45,dataset_8
dataset_8_45,1,633.2944462299347,0.12909913063049316,0.6689655172413793,0.5263101374570447,0.5,0.10416666666666667,0.7403350515463918,0.5414260950763188,500,10,1,0.8,,45,dataset_8
dataset_8_45,2,627.845009803772,0.1315922737121582,0.696551724137931,0.5469286941580757,0.8333333333333334,0.10416666666666667,0.7920962199312716,0.6113715871593519,500,2,1,0.8,,45,dataset_8
dataset_8_45,3,622.3992743492126,0.13988232612609863,0.6620689655172414,0.5064046895353886,0.375,0.06382978723404255,0.7331741207121146,0.5240192807368113,100,2,1,0.8,20.0,45,dataset_8
dataset_8_45,4,625.4059987068176,0.0996851921081543,0.7172413793103448,0.5915110725141121,0.6875,0.23404255319148937,0.7590099869735129,0.593806683805636,100,10,1,,20.0,45,dataset_8
dataset_7_44,0,325.4397118091583,0.26515650749206543,0.8367346938775511,0.5,0.0,0.0,0.5823170731707317,0.25547542735042733,100,10,1,0.8,10.0,44,dataset_7
dataset_7_44,1,340.6520347595215,0.08593916893005371,0.8333333333333334,0.5,0.0,0.0,0.703125,0.31087454212454213,200,2,5,,10.0,44,dataset_7
dataset_7_44,2,329.7272598743439,0.11010503768920898,0.8333333333333334,0.5,0.0,0.0,0.590625,0.2545532035390048,100,10,10,0.8,,44,dataset_7
dataset_7_44,3,335.56136560440063,0.08760905265808105,0.8333333333333334,0.5,0.0,0.0,0.4078125,0.2026835407192216,100,5,1,,,44,dataset_7
dataset_7_44,4,334.4162664413452,0.17736196517944336,0.8333333333333334,0.5,0.0,0.0,0.659375,0.31202788757136585,200,10,10,0.8,10.0,44,dataset_7
dataset_8_44,0,694.4099819660187,0.1004636287689209,0.6438356164383562,0.5274234693877551,0.4090909090909091,0.1875,0.7230017006802721,0.5175971293084178,100,2,5,,,44,dataset_8
dataset_8_44,1,699.5975992679596,0.09916520118713379,0.6896551724137931,0.5522981099656358,0.6363636363636364,0.14583333333333334,0.7286297250859107,0.5517452601587768,200,2,1,0.8,,44,dataset_8
dataset_8_44,2,693.4722969532013,0.11726260185241699,0.6827586206896552,0.5418814432989691,0.6,0.125,0.738831615120275,0.5560327127218431,200,5,1,0.8,10.0,44,dataset_8
dataset_8_44,3,691.3631365299225,0.17402124404907227,0.7241379310344828,0.6187581415544942,0.6521739130434783,0.3191489361702128,0.7420755536257055,0.5674147613824504,500,2,5,,10.0,44,dataset_8
dataset_8_44,4,698.3583323955536,0.10405135154724121,0.6689655172413793,0.5336517585757707,0.4666666666666667,0.14893617021276595,0.7386018237082067,0.5187028044426267,200,5,1,0.8,10.0,44,dataset_8
dataset_7_43,0,375.22814655303955,0.1042470932006836,0.8367346938775511,0.5,0.0,0.0,0.6371951219512195,0.2590076489533011,100,10,5,,,43,dataset_7
dataset_7_43,1,381.7823061943054,0.11784148216247559,0.8333333333333334,0.5,0.0,0.0,0.259375,0.12828358412266438,500,10,5,,10.0,43,dataset_7
dataset_7_43,2,372.79033374786377,0.24283790588378906,0.8333333333333334,0.5,0.0,0.0,0.4,0.1485578685745877,100,5,5,0.8,,43,dataset_7
dataset_7_43,3,377.3960416316986,0.08600592613220215,0.8333333333333334,0.5,0.0,0.0,0.490625,0.17824183875964728,100,5,1,0.8,,43,dataset_7
dataset_7_43,4,374.93266129493713,0.18412208557128906,0.8333333333333334,0.5,0.0,0.0,0.603125,0.23845379531994798,500,10,5,,10.0,43,dataset_7
dataset_8_43,0,765.5466315746307,0.15899229049682617,0.684931506849315,0.6005527210884354,0.53125,0.3541666666666667,0.7019557823129252,0.5245455055458667,500,2,10,,20.0,43,dataset_8
dataset_8_43,1,757.2496335506439,0.1633472442626953,0.6758620689655173,0.5946091065292096,0.5151515151515151,0.3541666666666667,0.7231529209621993,0.5108374687116901,500,2,10,,20.0,43,dataset_8
dataset_8_43,2,774.4586234092712,0.1284480094909668,0.7034482758620689,0.6204896907216495,0.5806451612903226,0.375,0.737328178694158,0.572028824494249,500,5,10,0.8,,43,dataset_8
dataset_8_43,3,768.2280552387238,0.13472723960876465,0.7103448275862069,0.6306990881458966,0.5757575757575758,0.40425531914893614,0.7811550151975684,0.5638848065258439,500,5,10,0.8,,43,dataset_8
dataset_8_43,4,766.8704609870911,0.13867783546447754,0.7517241379310344,0.6889926183239252,0.6486486486486487,0.5106382978723404,0.7822405557967869,0.6198295980481704,500,2,10,,20.0,43,dataset_8
