dataset,ACC,Balanced_ACC,Precision,Recall,AUROC,AUPRC,MCC,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth
dataset_1,0.55,0.55,0.5454545454545454,0.6,0.5387500000000001,0.5504947204053354,0.10050378152592121,200,2,10,0.8,10.0
dataset_2,0.4875,0.4875,0.4878048780487805,0.5,0.45375,0.44961645947296036,-0.025007816164017767,500,2,1,,10.0
dataset_3,0.425,0.425,0.425,0.425,0.425,0.4938046959986112,-0.15,200,5,5,0.8,10.0
dataset_4,0.55,0.55,0.5476190476190477,0.575,0.57,0.5652338394684199,0.10012523486435178,200,10,5,,
dataset_5,0.725,0.725,0.7368421052631579,0.7,0.848125,0.8677386769907685,0.450563556889583,500,5,10,,20.0
dataset_6,0.675,0.675,0.71875,0.575,0.6787500000000001,0.7406814524717948,0.3572172541558801,500,5,10,,20.0
dataset_7_1,0.8360655737704918,0.5,0.0,0.0,0.6490196078431373,0.2789200680272109,0.0,100,10,10,,
dataset_7_2,0.8360655737704918,0.5,0.0,0.0,0.6490196078431373,0.2789200680272109,0.0,100,10,10,,
dataset_8_1,0.6593406593406593,0.521448087431694,0.4375,0.11666666666666667,0.7256830601092896,0.541741171965355,0.07121312961443178,200,2,1,,20.0
dataset_8_2,0.6593406593406593,0.521448087431694,0.4375,0.11666666666666667,0.7256830601092896,0.541741171965355,0.07121312961443178,200,2,1,,20.0
dataset_8_3,0.6593406593406593,0.521448087431694,0.4375,0.11666666666666667,0.7256830601092896,0.541741171965355,0.07121312961443178,200,2,1,,20.0
dataset_7,0.8360655737704918,0.5,0.0,0.0,0.6490196078431373,0.2789200680272109,0.0,100,10,10,,
dataset_8,0.6593406593406593,0.521448087431694,0.4375,0.11666666666666667,0.7256830601092896,0.541741171965355,0.07121312961443178,200,2,1,,20.0
