dataset,fold,fit_time,score_time,accuracy,balanced_accuracy,precision,recall,roc_auc,average_precision,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth
dataset_1,0,341.59449648857117,0.12417364120483398,0.53125,0.53125,0.5294117647058824,0.5625,0.52734375,0.5475140675406194,100,5,5,,10.0
dataset_1,1,345.272824048996,0.1251208782196045,0.578125,0.578125,0.5806451612903226,0.5625,0.5361328125,0.5371166014758348,500,5,10,,20.0
dataset_1,2,342.1856610774994,0.09838056564331055,0.46875,0.46875,0.4666666666666667,0.4375,0.51953125,0.5187117448365707,100,2,5,0.8,20.0
dataset_1,3,346.43249702453613,0.11404156684875488,0.53125,0.53125,0.5454545454545454,0.375,0.4736328125,0.5022741656138328,500,2,1,,10.0
dataset_1,4,344.4394247531891,0.14260363578796387,0.4375,0.4375,0.4411764705882353,0.46875,0.515625,0.5928046413912927,500,10,1,0.8,20.0
dataset_2,0,346.6088354587555,0.1123955249786377,0.515625,0.515625,0.5161290322580645,0.5,0.509765625,0.5013831242340889,500,5,10,,20.0
dataset_2,1,342.6696105003357,0.09685683250427246,0.4375,0.4375,0.43333333333333335,0.40625,0.435546875,0.5003385299342327,100,2,5,0.8,20.0
dataset_2,2,341.30938172340393,0.16133928298950195,0.5,0.5,0.5,0.34375,0.5693359375,0.5453479868569351,100,10,10,0.8,
dataset_2,3,344.47310280799866,0.09914660453796387,0.46875,0.46875,0.46875,0.46875,0.4375,0.5054221220419159,200,2,1,,10.0
dataset_2,4,344.8489134311676,0.08022761344909668,0.4375,0.4375,0.4444444444444444,0.5,0.3857421875,0.4468473796753003,100,10,5,,
dataset_3,0,339.4541721343994,0.08940267562866211,0.46875,0.46875,0.47368421052631576,0.5625,0.447265625,0.4769385511496243,200,2,1,,10.0
dataset_3,1,336.7267506122589,0.1593799591064453,0.546875,0.546875,0.5384615384615384,0.65625,0.55078125,0.5395967400681645,200,5,5,0.8,10.0
dataset_3,2,335.00526094436646,0.11419224739074707,0.546875,0.546875,0.5454545454545454,0.5625,0.6103515625,0.6542703276708952,100,10,5,,
dataset_3,3,336.31291460990906,0.14810442924499512,0.4375,0.4375,0.43333333333333335,0.40625,0.419921875,0.49718632258653334,100,2,5,0.8,20.0
dataset_3,4,338.2993469238281,0.08806109428405762,0.578125,0.578125,0.5806451612903226,0.5625,0.6083984375,0.5882782415610566,100,10,10,0.8,
dataset_4,0,347.6280961036682,0.13440561294555664,0.5625,0.5625,0.5588235294117647,0.59375,0.6357421875,0.6188984482743052,200,2,1,,10.0
dataset_4,1,351.34868597984314,0.12088131904602051,0.59375,0.59375,0.6,0.5625,0.6171875,0.6764281867237824,500,10,1,0.8,20.0
dataset_4,2,346.4054400920868,0.2575709819793701,0.53125,0.53125,0.5384615384615384,0.4375,0.505859375,0.49988167360675473,200,10,5,,
dataset_4,3,349.8521521091461,0.10692358016967773,0.4375,0.4375,0.4473684210526316,0.53125,0.4716796875,0.5230836348518698,200,2,10,0.8,10.0
dataset_4,4,352.72954964637756,0.11397862434387207,0.515625,0.515625,0.5151515151515151,0.53125,0.478515625,0.47902197086583787,500,2,1,,10.0
dataset_5,0,338.72348833084106,0.1148369312286377,0.671875,0.671875,0.6666666666666666,0.6875,0.7939453125,0.8381908477034379,500,5,10,,20.0
dataset_5,1,334.2580235004425,0.14222121238708496,0.65625,0.65625,0.631578947368421,0.75,0.7783203125,0.8154072562471493,500,2,1,0.8,
dataset_5,2,333.01350474357605,0.15951800346374512,0.71875,0.71875,0.71875,0.71875,0.775390625,0.7836957104563046,500,2,1,0.8,
dataset_5,3,336.1830418109894,0.12596416473388672,0.734375,0.734375,0.6744186046511628,0.90625,0.8544921875,0.8224424897411647,500,2,1,,10.0
dataset_5,4,331.1833703517914,0.1731414794921875,0.71875,0.71875,0.7692307692307693,0.625,0.791015625,0.8063040203040841,500,10,5,0.8,10.0
dataset_6,0,334.63472390174866,0.17083525657653809,0.5,0.5,0.5,0.5625,0.5224609375,0.5344556906002218,200,10,5,,
dataset_6,1,341.2720067501068,0.14630961418151855,0.59375,0.59375,0.6,0.5625,0.6455078125,0.640241008146506,500,2,1,,10.0
dataset_6,2,339.53492283821106,0.12301492691040039,0.625,0.625,0.6333333333333333,0.59375,0.572265625,0.535030932529544,200,5,5,0.8,10.0
dataset_6,3,342.769154548645,0.12704801559448242,0.59375,0.59375,0.5882352941176471,0.625,0.5556640625,0.5637887374425007,500,10,5,0.8,10.0
