dataset_name,fold,fit_time,score_time,accuracy,balanced_accuracy,precision,recall,roc_auc,average_precision,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,seed,freq,size,noise
simulated_seed3_freq010_size1000_noise5_dataset,0,378.00959968566895,0.3754842281341553,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,200,2,1,,20.0,3,10,1000,5
simulated_seed3_freq010_size1000_noise5_dataset,1,378.4700725078583,0.726161003112793,1.0,1.0,1.0,1.0,1.0,1.0,500,2,1,0.8,,3,10,1000,5
simulated_seed3_freq010_size1000_noise5_dataset,2,378.5498251914978,0.45818543434143066,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,10,1000,5
simulated_seed3_freq010_size1000_noise5_dataset,3,380.98585319519043,0.08586478233337402,0.99375,0.99375,0.9876543209876543,1.0,1.0,1.0,500,5,10,0.8,20.0,3,10,1000,5
simulated_seed3_freq010_size1000_noise5_dataset,4,378.353862285614,0.49359655380249023,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,10,1000,5
simulated_seed3_freq010_size1000_noise25_dataset,0,375.8899030685425,0.5892529487609863,0.99375,0.99375,0.9876543209876543,1.0,0.9996875000000001,0.9996894290123456,500,5,10,,20.0,3,10,1000,25
simulated_seed3_freq010_size1000_noise25_dataset,1,378.02443981170654,0.084228515625,0.99375,0.99375,0.9876543209876543,1.0,1.0,1.0,500,10,1,0.8,20.0,3,10,1000,25
simulated_seed3_freq010_size1000_noise25_dataset,2,375.0199143886566,0.38982152938842773,1.0,1.0,1.0,1.0,1.0,1.0,500,10,1,0.8,20.0,3,10,1000,25
simulated_seed3_freq010_size1000_noise25_dataset,3,375.84932136535645,0.4085383415222168,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,,20.0,3,10,1000,25
simulated_seed3_freq010_size1000_noise25_dataset,4,376.0882625579834,0.4044928550720215,0.99375,0.99375,1.0,0.9875,1.0,1.0,500,10,1,0.8,20.0,3,10,1000,25
simulated_seed3_freq010_size1000_noise50_dataset,0,388.96378898620605,0.05919599533081055,0.96875,0.96875,0.987012987012987,0.95,0.99703125,0.9971253350481853,200,2,1,,20.0,3,10,1000,50
simulated_seed3_freq010_size1000_noise50_dataset,1,387.45575404167175,0.10408449172973633,0.9125,0.9125,0.9459459459459459,0.875,0.9728125000000001,0.974576492554512,200,2,1,,20.0,3,10,1000,50
simulated_seed3_freq010_size1000_noise50_dataset,2,388.8615753650665,0.09987950325012207,0.95,0.95,0.9615384615384616,0.9375,0.9914062499999999,0.9922254440555038,500,10,1,0.8,20.0,3,10,1000,50
simulated_seed3_freq010_size1000_noise50_dataset,3,386.41549372673035,0.2272806167602539,0.9125,0.9125,0.9342105263157895,0.8875,0.963046875,0.9400702157694247,200,2,1,,20.0,3,10,1000,50
simulated_seed3_freq010_size1000_noise50_dataset,4,388.41719675064087,0.08075952529907227,0.925,0.925,0.9473684210526315,0.9,0.98203125,0.9837566374628555,200,2,1,,20.0,3,10,1000,50
simulated_seed3_freq010_size1000_noise60_dataset,0,388.2392044067383,0.19686007499694824,0.81875,0.81875,0.8591549295774648,0.7625,0.89859375,0.9133253928111549,500,10,1,0.8,20.0,3,10,1000,60
simulated_seed3_freq010_size1000_noise60_dataset,1,386.9608449935913,0.16944265365600586,0.85625,0.85625,0.8607594936708861,0.85,0.9164062499999999,0.9046685146562611,500,10,1,0.8,20.0,3,10,1000,60
simulated_seed3_freq010_size1000_noise60_dataset,2,387.62863421440125,0.10374307632446289,0.825,0.825,0.8333333333333334,0.8125,0.9207812499999999,0.9082035979093803,200,2,1,,20.0,3,10,1000,60
simulated_seed3_freq010_size1000_noise60_dataset,3,388.3178687095642,0.17848515510559082,0.875,0.875,0.875,0.875,0.95359375,0.9552096711382833,500,10,1,0.8,20.0,3,10,1000,60
simulated_seed3_freq010_size1000_noise60_dataset,4,384.6972224712372,0.3523118495941162,0.81875,0.81875,0.84,0.7875,0.90625,0.9216539365043814,500,10,1,0.8,20.0,3,10,1000,60
simulated_seed3_freq010_size1000_noise70_dataset,0,394.47805619239807,0.20139455795288086,0.74375,0.74375,0.7468354430379747,0.7375,0.8376562500000001,0.8267235876805421,500,10,1,0.8,20.0,3,10,1000,70
simulated_seed3_freq010_size1000_noise70_dataset,1,391.144385099411,0.39906954765319824,0.7,0.7,0.7222222222222222,0.65,0.7590625,0.7418189780170965,200,2,1,,20.0,3,10,1000,70
simulated_seed3_freq010_size1000_noise70_dataset,2,396.76702523231506,0.09281373023986816,0.775,0.775,0.775,0.775,0.845625,0.8488964124585037,500,10,1,0.8,20.0,3,10,1000,70
simulated_seed3_freq010_size1000_noise70_dataset,3,396.6389217376709,0.10173249244689941,0.76875,0.76875,0.7721518987341772,0.7625,0.83265625,0.825667125302728,500,10,1,0.8,20.0,3,10,1000,70
simulated_seed3_freq010_size1000_noise70_dataset,4,395.6144664287567,0.12876248359680176,0.725,0.725,0.7368421052631579,0.7,0.8315625,0.8300583118473273,500,10,1,0.8,20.0,3,10,1000,70
simulated_seed3_freq010_size1000_noise80_dataset,0,384.33103370666504,0.24004077911376953,0.61875,0.61875,0.6338028169014085,0.5625,0.6582812499999999,0.6465062951037726,200,2,1,,10.0,3,10,1000,80
simulated_seed3_freq010_size1000_noise80_dataset,1,391.8058841228485,0.07525372505187988,0.575,0.575,0.5789473684210527,0.55,0.579375,0.5765737660709191,200,2,1,,10.0,3,10,1000,80
simulated_seed3_freq010_size1000_noise80_dataset,2,394.36240005493164,0.09698009490966797,0.60625,0.60625,0.6103896103896104,0.5875,0.62484375,0.637206822759042,500,10,1,0.8,20.0,3,10,1000,80
